ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AAPL,0.5602,0.5656,0.6126,0.4617,0.5031,0.5851,0.5596,0.478,0.6091,0.5488
PANW,0.5451,0.4814,0.5488,0.6051,0.4398,0.4246,0.5514,0.4521,0.4543,0.5338
LOW,0.4976,0.4641,0.4817,0.4839,0.5086,0.5337,0.4677,0.3882,0.3892,0.435
CB,0.759,0.8041,0.4526,0.3962,0.4542,0.7358,0.4356,0.4614,0.4429,0.7586
LMT,0.3339,0.4595,0.364,0.4507,0.2951,0.263,0.3951,0.3842,0.3655,0.3637
ABT,0.3467,0.3467,0.2838,0.5028,0.5516,0.4103,0.3602,0.4294,0.4973,0.4165
BAC,0.4201,0.4302,0.5681,0.6207,0.5218,0.5254,0.4722,0.4907,0.6539,0.5656
BRK-B,0.525,0.5552,0.4861,0.5125,0.4771,0.5532,0.6445,0.5885,0.603,0.5887
NFLX,0.3091,0.2908,0.363,0.3425,0.3247,0.2944,0.4024,0.4028,0.3601,0.3676
PM,0.3495,0.3543,0.3716,0.6438,0.3123,0.2828,0.3646,0.4253,0.3181,0.567
MSFT,0.5305,0.4791,0.5084,0.4107,0.4,0.385,0.5446,0.4228,0.394,0.3876
CMCSA,0.3758,0.3784,0.3292,0.3503,0.6468,0.4209,0.3309,0.4523,0.4317,0.403
GS,0.5,0.4751,0.5098,0.4992,0.5033,0.5531,0.5272,0.5843,0.6215,0.6226
AMZN,0.467,0.5419,0.5087,0.4477,0.5005,0.5073,0.4294,0.4523,0.4686,0.4522
AMAT,0.4624,0.4957,0.4814,0.5634,0.5444,0.4684,0.4853,0.4731,0.4454,0.4552
BMY,0.2501,0.3706,0.2789,0.2563,0.1948,0.2021,0.3216,0.3174,0.198,0.3544
KKR,0.5184,0.4742,0.4084,0.4152,0.4205,0.4272,0.4326,0.3942,0.3319,0.5347
TJX,0.4502,0.4366,0.3974,0.4101,0.429,0.4264,0.474,0.4784,0.4192,0.4691
NOW,0.4618,0.4186,0.5516,0.4729,0.5928,0.4635,0.473,0.6156,0.4628,0.5222
UNH,0.2235,0.6302,0.2944,0.3276,0.2458,0.3153,0.3785,0.3923,0.4634,0.485
FI,0.4626,0.383,0.496,0.3896,0.4799,0.467,0.4791,0.3936,0.4542,0.5398
V,0.3578,0.3896,0.589,0.6472,0.5485,0.3171,0.346,0.3985,0.568,0.3816
SBUX,0.4297,0.5091,0.4133,0.4304,0.5559,0.6155,0.464,0.5219,0.4866,0.4357
AMD,0.4476,0.5192,0.3829,0.2843,0.3479,0.3881,0.4002,0.378,0.3796,0.4507
ISRG,0.2796,0.3384,0.3095,0.3231,0.3001,0.1894,0.4065,0.5236,0.5536,0.7233
GOOGL,0.3431,0.5401,0.4774,0.6025,0.5742,0.4309,0.5478,0.4688,0.4616,0.4112
HD,0.4732,0.47,0.4736,0.4536,0.5801,0.6158,0.6165,0.5646,0.517,0.5266
VRTX,0.1119,0.2455,0.191,0.1816,0.1857,0.1861,0.2195,0.3508,0.3948,0.3842
SCHW,0.5426,0.4672,0.5754,0.5636,0.5384,0.5259,0.5183,0.5577,0.5007,0.4753
BX,0.4614,0.5483,0.4395,0.4545,0.445,0.4776,0.4004,0.403,0.4409,0.5033
UNP,0.393,0.4909,0.4163,0.3544,0.4128,0.3456,0.409,0.4814,0.4206,0.6817
NEE,0.4244,0.6424,0.4728,0.5613,0.4649,0.3801,0.4315,0.4098,0.574,0.5068
GILD,0.3221,0.1907,0.2339,0.2687,0.378,0.4188,0.4269,0.3513,0.4112,0.3697
ANET,0.4714,0.4237,0.4881,0.4897,0.4405,0.4962,0.3703,0.38,0.4275,0.5948
